id,recipient,gift
5aa0d16e87842affb5f7c9b221debd69,Olivia,Play Tool Set
b1b8d337ed84ea44452a68646fb28f6c,Lucas,Mini Play Kitchen
bb98f7fe5913a21972cbea97cd4def22,Daniel,Toy Dump Truck
623ce968d0624fc6f149ea3130e27237,Aria,Play Doctor Set
885de750c40b31eb8fc86194793f1fcb,Emma,Teddy Bear
5caf03ba119d4b1dc6f10bccd752f8a0,Samuel,Toy Robot Dog
64c3d9210798cd4fc9a4700645f291de,Abigail,Play-Doh Barber Shop
5ccd7fc655349e6f6517e7a0d3308d47,Oliver,Play Tool Set
e0f7b792989f951e097d1b2fd59349d7,Emily,Kid's Sewing Machine
0bccdc8fc40b8b43e9825ccd130786f5,Sophia,Mini RC Helicopter
43d590c8d2f18113310107d93cce0b3a,Mia,Mini Science Microscope
c01f2813d57a338cd678a062cbd8cae7,Benjamin,Play Vet Kit
7e4d6cef4221bc46e29b2c1a874c6efc,Daniel,RC Speedboat
30ee9a6e42a6b7dd650aa610a8226727,Emily,Construction Vehicle Set
18e7b0b3b55b122c96cc2d0ff6aa1832,Jackson,DIY Bead Kit
32c8495606b1ece4c9e7f49727cb5a2a,Lucas,Toy Police Set
07343ed6b60d598bd8426b2739c9613c,Ella,Spy Kit
ebe4afa337cbacc749836dc25afce9b8,William,Science Experiment Kit
1be9aaa14897fc962cb3b477196530c5,Oliver,Mini Wooden Train Set
00a781e40304ac3db11b77f9f2cb722d,Benjamin,Toy Kitchen
bbea91634cdb01eb34b8928ab4853eee,Sophia,Mini Golf Club Set
0a893782681ab87afb7cf1a7333f4f89,Harper,Magic Coloring Book
4600d396cc872e0543d3071989c66640,Sofia,Remote-Controlled Submarine
e2f621a98e5033f2342ed6c170f7d853,Ethan,Mini Basketball Hoop
7d26327fd2441f5f406019cbd7373dd2,Samuel,Glow in the Dark Stars
3bd687a0d63a11992136e4c8b0c4b281,Charlotte,Play-Doh Ice Cream Maker
c01e98aed1790320cfe42907441bbb38,Isabella,Watercolor Paint Set
f17c854fc8215fc50a7fe2aedbd7e956,Mia,Outdoor Explorer Kit
0419255f6d2ccef95409a774487e7901,Ava,Mini Easel
4d1784058dda0f5a6eeec3555590baa8,Noah,Play Vet Clinic Set
ec9e0b163013dbd70e0dbb0a77b9d454,Michael,Model Train Set
665535b96455367c9f34e1f00a024a9c,Benjamin,Racecar Track Set
de2fb7c5d043129cb144b15ebb2a6812,Lucas,Play-Doh Ice Cream Set
413d34139a7f32a212c7962c297b57b5,Logan,Airplane Model Kit
